ENGLISH ; RUSSIAN

not consecutively ; не подряд
not in a row ; не подряд
indicators ; показатели
community health center ; общественный медицинский центр
psychiatric response team ; психиатрическая бригада
scrub nurse ; операционная медсестра
a unit clerk ; секретарь отдела
a sleep clinic ; клиника сна
on file ; в архиве
on file ; в базе данных
day care ; дневной центр по уходу для детей и пожилых
sedatives ; успокаительные
duretics ; мочегонные
sedation ; успокоение
thyroid glands ; щитовидная железа
a feedback ; отзыв
a muscle relaxant ; мышечный релаксант
hives ; крапивница
blisters ; волдыри, мызоли
to distort (info) ; искажать
a corn on the foot ; мазоль на ноге
to drop off (smbd) ; высадить кого-то
a new intake ; ново-прибывшие
dialating drops (eyes/pupils) ; капли для расширения зрачка
blood clots ; кровяные тромбы
cholesterol plaque ; холестировая бляшка
plaque ; бляшка
artritis ; артрит
pacemaker ; кадиостимулятор
bypass ; шунтирование
a general urologist ; уролог общего назначения
a general practioner ; доктор общего назначения
to label ; маркировать
a gargling ; полоскание горла
to have a scratchy trhoat ; горло першит
a wheezing ; хрип
a whooping cough ; хрип
a treatment note ; справка о лечение
to irritate ; раздражать
to be evicted ; быть выселен
to reestablish (the treatment) ; возобновить (лечение)
an obvious pain ; явная боль
to infect (smbd) ; заражать (вирусом)
to be forced to ; вынужден
a catering order ; заказ на вынос
a discharge (e.g. liquid) ; выделения 
secretions (e.g. phlegm) ; выделения
phlegm ; мокрота
dialysis ; диализ
dialysis treatment ; лечение диализом
to undergo (a treatment) ; проходить (лечение)
to tie ; завязать
to untie ; развязать
a profound realisation ; глубокое осознание
True Positives ; истинно положительные показания
True Negatives ; истинно отрицательные показания
False Positives ; ложно положительные показания
False Negatives ; ложно отрицательные показания
Screening quesitons ; справочные вопросы
Grief ; горе
sorrow ; горе
mindfulness ; осознанность
central heat and air ; центраьлное опотление и кондиционирование
a refill (medications) ; пополнение по рецепту
a handicap sign ; инвалидный знак
a customer lifeline support ; служба поддержки клиентов
the main point ; основная мысль
eminent ; выдающийся
imminent ; неизбежный
to comply to ; следовать (правилам)
a figure (image) ; изображение
cognitive assessment ; когнитивное обследование
bathing ; купание
substance use ; употребление веществ
a stranger ; незнакомец
intoxication ; состояние опьянения 
intoxication ; интоксикация
a contribution ; вклад
a survey ; анкета
a surgery scheduler (profession) ; планировщик хирургических операций
the scheduler (profession) ; планировщик
malignant ; злокачественный
benign ; доброкачественный
a tumor ; опухоль
hyperthermia ; гипертермия
crowns (teeth) ; коронки
a clinical nurse ; клиническая мед-сестра
a prior authorization ; предварительное разрешение врача
a follow-up appointment ; повторный прием
sickle cells ; серповидные клетки
throat lozenge ; леденцы для горла
a mild dimentia ; легкая дименция
to accumulate ; накапливаться
a malfunction ; сбой
to malfunction ; дать сбой
jewelery ; драгоценности
whims ; капризы
whimsical ; капризный
to reschedule ; перенести
to reschedule an appointment ;  перенести приём
STI and STD ; инфекции и болезни, передающиеся половым путём
shingles ; опоясывающий лишай
a scope (field) ; сфера
to arrange a meeting ; организовать встречу
to torment ; мучать
Responders ; спасатели
Облучение ; radiation
Facial drooping (during stroke) ; опущение лица (во время инсульта)
To have a slurred speech ; заговариваться
to speak incoherently ; говорить неясно
A Drowziness ; сонливость
A Generic Councelor ; консультант по общим вопросам
To refund ; возмещение (средств)
A disposal ; утилизация
A reinbustment ; возмещение (средств)
A Motorist ; водитель
To Pick up (smbd) ; забрать кого-то
A District ; район
A gestational diabetes ; гестационный диабет
An endeavor ; стремление
To endeavor ; постараться
an eye reassessment ;  повторное обследование зрения
to be registered to vote ; быть зарегистрированным избирателем
a foot ; стопа
a sole ; подошва
podiatrist ; падолог
a county ; округ
painful masses ; болезненные наросты
painful growths ; болезненные наросты
a marketplace (insurance) ; биржа страхования
a long term care ; долгосрочный уход
HR administration ; администрация кадров
HRA ; Управление трудовыми ресурсами
customer support ; клиентская поддержка
housing needs ; жилищные нужды
to request a leave from work ; отпрашиваться с работы
a land line ; городской телефон
a threshold ; порог
a younger daughter ; младшая дочь
diaper ; подгузник
a baby formula ; детская смесь
wet diapers ; мокрые подгузники
humidifier ; увлажнитель
a nasal cannula ; назальная канюля
a pulse oximeter / SpO2 ; пульсоксиметр
an invoice ; счёт_фактура
intoxicated ; в опьянённом состояние
a decanter ; графин
отклеивать ; peel off
defective ; бракованный
to be relieved ; стало лечге
marital status ; семейное положение
groin hernia ; паховая грыжа
herneated disc ; межпозвоночная грыжа
intervertebral disc ; межпозвоночный диск
spinal disc ; межпозвоночный диск
infraumbilical hernia ; подпупковая грыжа
navel ; пупок
the pain goes up ; боль поднимается
an injury ; травма
stretches ; носилки
